store_name,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,Monthly_Avg,YTD_2025
Rocket #681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.16,0.0,0.0,28.49,0.0,8.93,28.49
Rocket #683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.23,23.02,61.31,255.79,139.05,101.28,479.17
Rocket #684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.26,353.51,116.58,147.93,17.56,142.37,635.58
Rocket #686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.41,27.5,0.0,0.0,25.51,15.88,53.01
Rocket #687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.09,195.88,432.44,457.62,251.98,277.0,1337.92
Rocket #688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.87,41.46,43.88,110.31,90.74,65.05,286.39
Rocket #689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.96,133.27,202.34,201.77,302.35,196.34,839.73
Rocket #690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.57,246.47,198.7,331.58,171.01,215.87,947.76
Rocket #691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.5,92.15,13.16,29.99,97.65,85.69,232.95
Rocket #692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.19,193.24,194.68,318.63,168.6,214.87,875.15
Rocket #694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.69,1076.4,774.0,1141.43,471.44,810.19,3463.27
Rocket #695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.12,365.71,442.56,398.28,439.17,395.37,1645.72
Rocket #696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.71,448.26,226.21,135.04,214.21,244.29,1023.72
Rocket #7237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.46,457.68,253.79,246.45,175.39,255.35,1133.31
Rocket #743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.25,58.77,33.9,68.87,102.08,55.57,263.62
